332, 4394.87, 0
341, 4392.31, 0
347, 4390.26, 0
355, 4393.85, 0
362, 4398.97, 0
370, 4395.38, 0
378, 4390.26, 0
386, 4388.21, 0
393, 4387.18, 0
400, 4390.77, 0
410, 4397.44, 0
416, 4398.97, 0
427, 4394.36, 0
432, 4395.38, 0
442, 4400.51, 0
449, 4400, 0
458, 4396.41, 0
465, 4401.03, 0
473, 4410.77, 0
480, 4412.82, 0
487, 4410.26, 0
496, 4406.67, 0
503, 4400.51, 0
511, 4395.38, 0
518, 4398.46, 0
526, 4403.08, 0
534, 4400.51, 0
543, 4399.49, 0
551, 4402.56, 0
559, 4401.54, 0
566, 4396.92, 0
578, 4397.95, 0
580, 4400, 0
589, 4398.46, 0
598, 4402.05, 0
605, 4410.26, 0
612, 4412.31, 0
621, 4416.92, 0
629, 4426.15, 0
636, 4427.18, 0
643, 4420.51, 0
650, 4418.97, 0
658, 4422.05, 0
667, 4420, 0
676, 4414.36, 0
683, 4414.87, 0
691, 4416.41, 0
698, 4412.82, 0
706, 4411.28, 0
714, 4416.41, 0
721, 4415.9, 0
731, 4411.28, 0
738, 4412.82, 0
746, 4416.41, 0
753, 4410.77, 0
761, 4404.1, 0
769, 4407.18, 0
777, 4411.79, 0
784, 4410.77, 0
792, 4409.74, 0
801, 4410.26, 0
809, 4409.74, 0
815, 4412.31, 0
823, 4413.85, 0
831, 4411.28, 0
840, 4411.28, 0
848, 4412.82, 0
856, 4412.31, 0
864, 4410.26, 0
871, 4406.15, 0
878, 4402.56, 0
887, 4402.05, 0
894, 4403.59, 0
902, 4404.1, 0
909, 4402.56, 0
916, 4402.56, 0
937, 4408.21, 0
938, 4415.38, 0
941, 4414.36, 0
949, 4411.79, 0
957, 4413.33, 0
965, 4413.85, 0
972, 4408.72, 0
980, 4406.15, 0
989, 4411.28, 0
996, 4408.72, 0
1003, 4402.56, 0
1011, 4406.15, 0
1018, 4410.26, 0
1028, 4405.64, 0
1034, 4401.54, 0
1043, 4398.97, 0
1049, 4395.38, 0
1058, 4395.9, 0
1065, 4397.95, 0
1074, 4397.44, 0
1082, 4397.95, 0
1090, 4397.95, 0
1097, 4400, 0
1105, 4406.67, 0
1114, 4411.28, 0
1122, 4411.79, 0
1128, 4412.31, 0
1137, 4413.33, 0
1145, 4412.82, 0
1153, 4413.85, 0
1161, 4416.41, 0
1167, 4414.87, 0
1176, 4409.23, 0
1183, 4403.59, 0
1190, 4401.54, 0
1199, 4399.49, 0
1206, 4396.41, 0
1215, 4395.9, 0
1222, 4400, 0
1231, 4398.97, 0
1239, 4390.26, 0
1247, 4385.64, 0
1253, 4388.21, 0
1262, 4388.21, 0
1270, 4387.69, 0
1278, 4393.85, 0
1285, 4398.97, 0
1294, 4397.44, 0
1301, 4401.54, 0
1309, 4410.77, 0
1316, 4412.31, 0
1325, 4410.26, 0
1333, 4411.28, 0
1341, 4406.15, 0
1348, 4403.59, 0
1356, 4411.28, 0
1364, 4416.41, 0
1372, 4411.79, 0
1380, 4407.69, 0
1386, 4405.13, 0
1395, 4400, 0
1403, 4397.95, 0
1410, 4403.59, 0
1419, 4408.21, 0
1427, 4404.62, 0
1434, 4401.03, 0
1443, 4404.1, 0
1450, 4411.28, 0
1457, 4411.79, 0
1466, 4405.13, 0
1473, 4402.05, 0
1481, 4400.51, 0
1489, 4396.92, 0
1496, 4396.92, 0
1504, 4400, 0
1513, 4401.54, 0
1520, 4405.64, 0
1527, 4409.74, 0
1536, 4412.31, 0
1544, 4411.79, 0
1551, 4410.26, 0
1561, 4412.31, 0
1567, 4414.36, 0
1576, 4413.33, 0
1583, 4412.31, 0
1592, 4412.82, 0
1598, 4412.31, 0
1606, 4412.82, 0
1614, 4414.36, 0
1622, 4412.82, 0
1630, 4412.82, 0
1638, 4415.9, 0
1646, 4414.87, 0
1653, 4410.77, 0
1661, 4410.77, 0
1668, 4411.79, 0
1677, 4411.28, 0
1685, 4411.28, 0
1692, 4411.79, 0
1700, 4412.31, 0
1709, 4411.79, 0
1716, 4408.72, 0
1725, 4409.23, 0
1732, 4413.85, 0
1738, 4414.36, 0
1747, 4413.33, 0
1755, 4416.41, 0
1762, 4416.41, 0
1771, 4410.77, 0
1778, 4407.69, 0
1786, 4412.82, 0
1794, 4413.33, 0
1802, 4409.23, 0
1811, 4409.74, 0
1816, 4408.21, 0
1824, 4398.97, 0
1833, 4395.38, 0
1842, 4401.54, 0
1849, 4404.62, 0
1857, 4403.08, 0
1864, 4403.08, 0
1872, 4404.1, 0
1880, 4404.1, 0
1887, 4404.1, 0
1895, 4403.08, 0
1904, 4400, 0
1911, 4400.51, 0
1919, 4404.1, 0
1927, 4408.21, 0
1935, 4409.74, 0
1943, 4407.69, 0
1950, 4402.56, 0
1959, 4398.46, 0
1966, 4400, 0
1975, 4402.05, 0
1982, 4403.08, 0
1991, 4406.67, 0
1997, 4413.33, 0
2004, 4415.9, 0
2013, 4413.33, 0
2021, 4413.33, 0
2029, 4410.77, 0
2036, 4403.08, 0
2044, 4397.44, 0
2052, 4397.95, 0
2060, 4401.54, 0
2068, 4402.05, 0
2077, 4404.1, 0
2084, 4406.67, 0
2091, 4404.1, 0
2099, 4404.62, 0
2107, 4411.79, 0
2115, 4415.38, 0
2122, 4411.28, 0
2130, 4409.74, 0
2138, 4406.67, 0
2146, 4398.46, 0
2153, 4396.41, 0
2162, 4406.15, 0
2169, 4413.85, 0
2177, 4413.85, 0
2185, 4410.77, 0
2194, 4407.18, 0
2201, 4399.49, 0
2210, 4396.92, 0
2216, 4407.69, 0
2225, 4413.85, 0
2232, 4404.62, 0
2241, 4398.46, 0
2248, 4404.1, 0
2255, 4403.59, 0
2263, 4398.46, 0
2271, 4404.1, 0
2279, 4413.33, 0
2287, 4412.82, 0
2295, 4405.64, 0
2302, 4398.97, 0
2310, 4397.44, 0
2317, 4398.46, 0
2327, 4397.95, 0
2333, 4396.92, 0
2341, 4401.03, 0
2349, 4404.62, 0
2357, 4400.51, 0
2365, 4401.54, 0
2374, 4406.15, 0
2380, 4405.13, 0
2388, 4405.64, 0
2396, 4410.77, 0
2403, 4412.82, 0
2410, 4410.26, 0
2420, 4408.21, 0
2428, 4407.18, 0
2435, 4411.28, 0
2443, 4414.36, 0
2451, 4409.74, 0
2460, 4408.21, 0
2469, 4411.79, 0
2475, 4411.28, 0
2481, 4407.69, 0
2490, 4408.72, 0
2498, 4413.85, 0
2506, 4415.9, 0
2513, 4415.9, 0
2521, 4414.36, 0
2529, 4414.36, 0
2537, 4413.85, 0
2544, 4408.72, 0
2552, 4402.56, 0
2560, 4404.1, 0
2568, 4410.26, 0
2576, 4411.28, 0
2584, 4410.26, 0
2592, 4411.28, 0
2599, 4408.72, 0
2607, 4403.08, 0
2615, 4402.56, 0
2622, 4404.1, 0
2631, 4399.49, 0
2639, 4395.9, 0
2646, 4400.51, 0
2654, 4408.72, 0
2662, 4413.85, 0
2670, 4413.33, 0
2678, 4416.92, 0
2685, 4425.13, 0
2693, 4426.15, 0
2700, 4417.95, 0
2709, 4411.79, 0
2717, 4410.26, 0
2725, 4412.82, 0
2732, 4414.36, 0
2740, 4412.82, 0
2748, 4411.79, 0
2756, 4414.87, 0
2764, 4417.95, 0
2772, 4418.97, 0
2779, 4420, 0
2786, 4417.95, 0
2795, 4414.36, 0
2803, 4416.92, 0
2810, 4419.49, 0
2818, 4414.87, 0
2826, 4409.74, 0
2833, 4412.82, 0
2841, 4417.44, 0
2849, 4418.46, 0
2858, 4421.54, 0
2865, 4427.69, 0
2873, 4427.69, 0
2881, 4422.05, 0
2889, 4417.95, 0
2897, 4415.9, 0
2903, 4418.97, 0
2912, 4424.1, 0
2920, 4421.54, 0
2926, 4417.44, 0
2936, 4418.46, 0
2944, 4421.03, 0
2949, 4423.59, 0
2959, 4425.64, 0
2965, 4427.18, 0
2973, 4426.67, 0
2983, 4420.51, 0
2988, 4417.44, 0
2998, 4417.44, 0
3004, 4414.87, 0
3014, 4413.85, 0
3022, 4414.87, 0
3030, 4412.31, 0
3036, 4407.69, 0
3045, 4404.1, 0
3052, 4402.05, 0
3060, 4402.05, 0
3068, 4406.15, 0
3075, 4412.82, 0
3084, 4414.87, 0
3092, 4412.82, 0
3099, 4412.31, 0
3108, 4410.77, 0
3114, 4405.13, 0
3121, 4400.51, 0
3131, 4402.05, 0
3139, 4404.62, 0
3147, 4403.59, 0
3155, 4404.1, 0
3161, 4405.64, 0
3169, 4403.59, 0
3177, 4402.56, 0
3185, 4403.08, 0
3194, 4400.51, 0
3202, 4396.92, 0
3209, 4396.41, 0
3217, 4394.36, 0
3225, 4398.97, 0
3233, 4410.77, 0
3240, 4417.44, 0
3249, 4420.51, 0
3255, 4428.21, 0
3262, 4432.82, 0
3271, 4430.77, 0
3278, 4429.23, 0
3288, 4425.13, 0
3295, 4420.51, 0
3302, 4420, 0
3310, 4418.97, 0
3317, 4416.92, 0
3325, 4418.97, 0
3334, 4418.97, 0
3340, 4416.92, 0
3349, 4420, 0
3357, 4418.97, 0
3366, 4412.82, 0
3374, 4412.82, 0
3380, 4419.49, 0
3389, 4421.03, 0
3395, 4415.9, 0
3403, 4414.36, 0
3411, 4418.46, 0
3421, 4421.54, 0
3426, 4419.49, 0
3434, 4417.44, 0
3444, 4414.36, 0
3452, 4412.82, 0
3458, 4413.33, 0
3465, 4412.82, 0
3474, 4414.36, 0
3483, 4414.87, 0
3491, 4412.31, 0
3498, 4410.26, 0
3507, 4413.85, 0
3513, 4419.49, 0
3522, 4421.03, 0
3529, 4416.41, 0
3538, 4411.28, 0
3545, 4411.79, 0
3553, 4411.79, 0
3561, 4411.79, 0
3569, 4412.31, 0
3576, 4407.18, 0
3583, 4405.64, 0
3592, 4409.74, 0
3600, 4408.21, 0
3608, 4401.54, 0
3614, 4397.44, 0, estimuli
3624, 4400, 0
