387, 4480.51, 0, 0
397, 4474.87, 0, 1
403, 4349.74, 0, 2
413, 4324.1, 0, 3
419, 4453.33, 0, 0
429, 4538.46, 0, 1
433, 4468.72, 0, 2
442, 4308.72, 0, 3
451, 4319.49, 0, 0
458, 4477.95, 0, 1
467, 4507.18, 0, 2
473, 4400.51, 0, 3
483, 4316.92, 0, 0
488, 4366.15, 0, 1
498, 4456.92, 0, 2
504, 4427.69, 0, 3
514, 4372.31, 0, 0
519, 4377.44, 0, 1
530, 4410.26, 0, 2
536, 4434.87, 0, 3
546, 4380.51, 0, 0
552, 4330.26, 0, 1
560, 4402.05, 0, 2
567, 4476.41, 0, 3
574, 4432.31, 0, 0
584, 4325.64, 0, 1
590, 4313.33, 0, 2
597, 4444.1, 0, 3
606, 4527.69, 0, 0
614, 4440.51, 0, 1
621, 4298.46, 0, 2
630, 4297.95, 0, 3
637, 4423.08, 0, 0
644, 4469.23, 0, 1
652, 4408.72, 0, 2
661, 4330.26, 0, 3
669, 4336.41, 0, 0
677, 4420.51, 0, 1
683, 4427.18, 0, 2
691, 4374.36, 0, 3
700, 4359.49, 0, 0
707, 4394.87, 0, 1
715, 4415.38, 0, 2
723, 4365.13, 0, 3
730, 4363.08, 0, 0
739, 4444.62, 0, 1
746, 4491.79, 0, 2
754, 4445.13, 0, 3
762, 4317.44, 0, 0
771, 4296.92, 0, 1
778, 4447.18, 0, 2
785, 4531.28, 0, 3
793, 4433.33, 0, 0
802, 4301.03, 0, 1
810, 4330.26, 0, 2
817, 4450.26, 0, 3
824, 4468.72, 0, 0
832, 4412.82, 0, 1
840, 4351.28, 0, 2
848, 4364.62, 0, 3
857, 4434.87, 0, 0
863, 4415.9, 0, 1
871, 4366.67, 0, 2
879, 4376.41, 0, 3
888, 4412.82, 0, 0
895, 4431.28, 0, 1
902, 4350.26, 0, 2
911, 4282.56, 0, 3
918, 4384.62, 0, 0
927, 4494.36, 0, 1
934, 4440.51, 0, 2
941, 4317.95, 0, 3
949, 4311.79, 0, 0
958, 4435.9, 0, 1
965, 4496.92, 0, 2
973, 4406.15, 0, 3
982, 4284.1, 0, 0
988, 4308.21, 0, 1
996, 4435.38, 0, 2
1004, 4466.67, 0, 3
1012, 4390.77, 0, 0
1021, 4324.1, 0, 1
1028, 4368.72, 0, 2
1035, 4449.23, 0, 3
1043, 4403.08, 0, 0
1051, 4352.82, 0, 1
1060, 4389.23, 0, 2
1067, 4436.92, 0, 3
1075, 4440, 0, 0
1082, 4360, 0, 1
1090, 4322.05, 0, 2
1098, 4413.85, 0, 3
1107, 4485.13, 0, 0
1114, 4430.26, 0, 1
1121, 4313.33, 0, 2
1129, 4297.44, 0, 3
1137, 4421.03, 0, 0
1145, 4502.56, 0, 1
1153, 4429.74, 0, 2
1160, 4305.13, 0, 3
1168, 4312.31, 0, 0
1176, 4424.62, 0, 1
1184, 4454.36, 0, 2
