520, 4392.31
527, 4392.82
535, 4385.64
543, 4383.08
551, 4388.21
561, 4392.31
566, 4387.18
574, 4384.62
582, 4387.18
591, 4387.18
599, 4392.31
607, 4395.9
614, 4396.41
622, 4395.38
630, 4391.28
638, 4391.28
647, 4390.77
652, 4388.21
661, 4390.77
669, 4392.82
677, 4391.79
684, 4389.23
693, 4388.21
700, 4390.26
708, 4389.74
715, 4387.18
723, 4390.77
731, 4391.79
740, 4389.74
746, 4388.21
755, 4385.64
762, 4386.15
772, 4390.26
779, 4391.79
785, 4387.69
793, 4387.69
802, 4391.28
809, 4387.18
818, 4386.67
826, 4390.26
833, 4389.23
840, 4388.72
850, 4389.74
856, 4390.26
865, 4388.72
872, 4389.74
880, 4391.79
888, 4386.15
896, 4385.64
904, 4391.28
912, 4388.72
918, 4385.64
929, 4386.67
934, 4387.18
942, 4387.69
950, 4387.18
958, 4387.18
966, 4390.26
975, 4392.82
983, 4390.26
991, 4387.69
998, 4391.79
1004, 4392.82
1015, 4390.77
1022, 4391.28
1030, 4390.77
1037, 4389.23
1044, 4387.69
1052, 4387.69
1060, 4391.28
1068, 4388.72
1076, 4385.13
1084, 4387.18
1091, 4386.67
1100, 4387.18
1107, 4386.15
1115, 4386.67
1122, 4392.82
1131, 4390.77
1137, 4386.67
1145, 4387.69
1154, 4389.23
1161, 4389.23
1170, 4386.15
1178, 4386.67
1185, 4390.77
1192, 4388.21
1202, 4384.62
1209, 4387.18
1217, 4393.85
1224, 4395.38
1232, 4392.82
1239, 4394.87
1249, 4393.85
1256, 4390.77
1267, 4389.74
1270, 4389.74
1280, 4391.28
1286, 4392.82
1295, 4393.33
1302, 4392.31
1310, 4388.21
1317, 4388.21
1326, 4388.72
1334, 4388.72
1342, 4391.28
1349, 4389.23
1356, 4386.15
1365, 4385.13
1373, 4383.59
1380, 4385.64
1388, 4385.64
1395, 4386.67
1406, 4390.26
1413, 4390.77
1419, 4394.36
1428, 4395.38
1437, 4392.31
1442, 4394.36
1450, 4394.87
1460, 4389.74
1467, 4391.28
1475, 4397.95
1482, 4393.33
1491, 4384.1
1498, 4388.21
1510, 4392.82
1514, 4390.26
1521, 4389.74
1529, 4388.72
1537, 4388.21
1545, 4389.74
1554, 4387.18
1561, 4385.64
1568, 4387.18
1575, 4390.26
1584, 4390.77
1592, 4388.72
1599, 4390.26
1608, 4390.26
1615, 4388.72
1629, 4390.77
1632, 4390.26
1639, 4390.77
1648, 4388.72
1656, 4385.13
1662, 4385.64
1672, 4390.26
1678, 4394.36
1686, 4390.26
1700, 4387.18
1701, 4390.26
1708, 4387.69
1723, 4386.67
1725, 4388.72
1733, 4387.69
1741, 4391.28
1747, 4393.33
1757, 4391.79
1772, 4392.31
1775, 4389.74
1780, 4388.72
1788, 4389.74
1796, 4391.79
1803, 4391.79
1812, 4388.72
1825, 4392.31
1828, 4394.36
1836, 4387.69
1843, 4385.64
1850, 4389.74
1858, 4394.87
1865, 4394.87
1873, 4392.82
1882, 4396.41
1888, 4396.41
1899, 4393.33
1906, 4391.79
1913, 4391.79
1921, 4395.38
1928, 4392.31
1937, 4391.28
1945, 4395.38
1959, 4393.85
1960, 4393.85
1967, 4394.87
1976, 4393.85
1983, 4394.87
1992, 4399.49
2001, 4400.51
2007, 4394.87
2014, 4395.38
2022, 4397.95
2030, 4393.85
2038, 4394.87
2047, 4396.41
2055, 4390.77
2062, 4389.23
2071, 4391.79
2078, 4393.33
2092, 4391.28
2092, 4388.72
2101, 4393.85
2108, 4395.38
2116, 4393.33
2128, 4396.92
2142, 4397.44
2144, 4396.92
2148, 4397.95
2155, 4397.44
2162, 4398.46
2172, 4397.44
2179, 4401.03
2187, 4404.1
2196, 4405.13
2204, 4406.15
2210, 4400.51
2217, 4400.51
2226, 4401.54
2232, 4397.44
2241, 4395.9
2249, 4397.95
2257, 4399.49
2264, 4397.44
2274, 4395.9
2281, 4396.92
2288, 4395.38
2296, 4397.95
2310, 4401.54
2313, 4396.41
2320, 4394.36
2328, 4395.9
2335, 4395.9
2345, 4397.44
2351, 4398.46
2360, 4399.49
2368, 4395.38
2374, 4393.85
2383, 4400.51
2399, 4397.44
2401, 4392.82
2408, 4397.44
2415, 4400.51
2421, 4398.97
2433, 4393.85
2437, 4395.38
2445, 4396.92
2453, 4396.41
2460, 4396.92
2468, 4393.85
2482, 4393.33
2484, 4392.31
2492, 4391.79
2507, 4395.38
2507, 4393.85
2514, 4392.82
2524, 4396.92
2535, 4396.41
2539, 4393.85
2555, 4392.31
2559, 4392.82
2561, 4396.41
2597, 4395.38
2597, 4390.77
2599, 4389.23
2601, 4391.79
2603, 4395.9
2609, 4390.77
2624, 4390.77
2624, 4399.49
2635, 4400
2640, 4395.9
2648, 4395.38
2668, 4398.46
2671, 4398.46
2671, 4395.38
2685, 4395.9
2687, 4394.87
2696, 4395.38
2706, 4397.95
2719, 4394.87
2720, 4395.38
2740, 4397.44
2742, 4393.85
2750, 4391.28
2751, 4393.33
2761, 4394.36
2775, 4388.72
2777, 4390.77
2781, 4394.87
2794, 4390.77
2803, 4391.79
2811, 4391.79
2813, 4384.62
2822, 4390.26
2828, 4396.92
2854, 4394.36
2884, 4391.79
2891, 4392.82
2897, 4395.38
2910, 4393.33
2912, 4389.74
2922, 4393.85
2923, 4395.9
2930, 4390.77
2933, 4391.28
2935, 4392.31
2949, 4392.31
2952, 4390.77
2961, 4390.26
2962, 4396.41
2970, 4397.95
2979, 4396.41
3001, 4395.38
3001, 4394.36
3004, 4396.92
3011, 4395.38
3017, 4391.79
3026, 4391.79
3031, 4393.33
3046, 4396.92
3048, 4393.85
3069, 4389.74
3074, 4389.23
3095, 4388.21
3096, 4394.36
3100, 4396.41
3115, 4391.28
3116, 4389.23
3118, 4389.74
3118, 4394.36
3125, 4392.82
3132, 4386.15
3140, 4387.18
3151, 4389.74
3156, 4389.74
3165, 4388.72
3172, 4385.64
3179, 4385.64
3187, 4387.18
3196, 4389.23
3205, 4393.33
3229, 4395.9
3231, 4391.28
3232, 4386.15
3237, 4393.85
3244, 4400
3252, 4393.33
3265, 4391.79
3267, 4394.87
3274, 4394.87
3302, 4391.28
3308, 4384.1
3308, 4391.28
3315, 4401.03
3317, 4397.44
3321, 4394.87
3330, 4394.36
3338, 4395.9
3345, 4394.87
3354, 4390.77
3361, 4391.79
3369, 4394.36
3377, 4397.44
3419, 4394.87
3421, 4393.33
3423, 4400.51
3423, 4396.41
3423, 4392.31
3426, 4392.82
3431, 4395.38
3439, 4394.87
3447, 4391.28
3474, 4391.28
3474, 4392.31
3476, 4388.21
3495, 4388.72
3497, 4388.72
3497, 4386.67
3536, 4390.77
3538, 4387.69
3539, 4384.62
3540, 4386.15
3540, 4387.69
3542, 4386.15
3548, 4384.62
3562, 4387.18
3586, 4390.26
3625, 4389.23
3627, 4393.33
3627, 4391.28
3627, 4388.72
3630, 4392.31
3631, 4389.74
3634, 4393.85
3643, 4393.33
3649, 4386.15
3666, 4387.69
3669, 4388.72
3686, 4387.18
3708, 4392.31
3717, 4391.28
3728, 4392.82
3728, 4394.36
3730, 4396.41
3737, 4393.33
3737, 4388.21
3738, 4389.74
3746, 4392.82
3752, 4389.23
3765, 4390.77
3766, 4390.26
3788, 4386.67
3789, 4390.77
3803, 4393.33
3811, 4389.74
3820, 4381.54
3822, 4382.05
3823, 4386.15
3840, 4385.64
3848, 4393.85
3850, 4398.97
3854, 4390.26
3864, 4386.15
3871, 4394.87
3884, 4399.49
3886, 4387.69
3896, 4383.08
3914, 4392.82
3915, 4388.21
3935, 4380
3942, 4385.64
3942, 4389.23
3945, 4385.64
3947, 4380
3956, 4378.97
3964, 4383.08
3970, 4382.05
3986, 4383.59
3995, 4388.21
4002, 4391.28
4016, 4388.72
4017, 4384.1
4020, 4389.74
4026, 4390.77
4033, 4389.74
4046, 4392.31
4050, 4386.15
4057, 4387.69
4078, 4392.31
4081, 4384.62
4082, 4383.08
4087, 4386.15
4098, 4384.1
4106, 4383.08
4123, 4385.13
4125, 4384.1
4128, 4379.49
4137, 4382.05
4149, 4383.59
4175, 4378.46
4199, 4382.05
4200, 4386.15
4207, 4385.64
4209, 4380.51
4220, 4385.13
4236, 4387.18
4236, 4387.18
4251, 4384.1
4253, 4384.1
4253, 4386.15
4255, 4386.15
4261, 4386.67
4268, 4387.69
4280, 4390.77
4288, 4389.23
4293, 4385.13
4315, 4385.64
4322, 4381.54
4323, 4380
4333, 4385.64
4335, 4389.74
4354, 4389.23
4361, 4383.08
4362, 4382.05
4379, 4386.67
4380, 4384.1
4383, 4382.56
4387, 4380.51
4394, 4384.1
4401, 4390.77
4409, 4385.13
4418, 4383.08
4425, 4385.13
4438, 4385.64
4441, 4392.82
4448, 4391.28
4468, 4380.51
4469, 4375.9
4472, 4380.51
4480, 4383.59
4499, 4377.95
4502, 4381.54
4503, 4388.72
4510, 4384.1
4519, 4382.05
4526, 4383.59
4535, 4382.05
4546, 4380
4555, 4377.95
4561, 4379.49
4576, 4378.46
4577, 4377.44
4580, 4382.56
4594, 4381.03
4597, 4382.56
4606, 4386.67
4614, 4385.64
4622, 4385.64
4627, 4386.15
4649, 4385.13
4651, 4382.56
4653, 4386.15
4660, 4391.28
4687, 4384.62
4688, 4382.56
4689, 4386.67
4692, 4384.62
4706, 4384.62
4708, 4381.54
4715, 4379.49
4729, 4384.1
4732, 4384.1
4741, 4384.1
4747, 4384.1
4755, 4381.03
4761, 4381.54
